ticker,type,strike,expiry,iv,open_interest,market_price
BOVAT180,PUT,R$ 180.00,21/08/2026,21.3%,5385,-29.39
BOVAB600,CALL,R$ 60.00,20/02/2026,0.0%,5362,-0.82
BOVAV47,PUT,R$ 162.00,16/10/2026,26.4%,5362,-2.73
BOVAB106,CALL,R$ 106.00,20/02/2026,0.0%,5304,2.56
BOVAB176W1,CALL,R$ 176.00,06/02/2026,18.8%,5300,0
BOVAU142,PUT,R$ 142.00,18/09/2026,22.5%,5292,-35
BOVAJ44,CALL,R$ 157.00,16/10/2026,14.2%,5292,-11.98
BOVAV7,PUT,R$ 145.00,16/10/2026,24.5%,5255,-8.17
BOVAI141,CALL,R$ 141.00,18/09/2026,0.0%,5184,2.76
BOVAS137,PUT,R$ 137.00,17/07/2026,23.1%,5133,9.09
BOVAB102,CALL,R$ 102.00,20/02/2026,0.0%,5120,1.28
BOVAR149,PUT,R$ 149.00,19/06/2026,20.8%,5102,-5.4
BOVAC205,CALL,R$ 205.00,20/03/2026,22.6%,5100,-20
BOVAA188W4,CALL,R$ 188.00,23/01/2026,37.0%,5087,-66.66
BOVAK181,CALL,R$ 181.00,19/11/2026,17.6%,5001,18.43
BOVAB770,CALL,R$ 77.00,20/02/2026,0.0%,5000,0
